commit,date,version,suite,benchmark,experiment,name,config,case,time,runid
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q1b,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,1873.75,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q1b,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,1795.47,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q1b,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,1797.83,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q1b,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,1844.94,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,160.86,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,159.371,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,164.971,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,170.166,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,170.74,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,75.808,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,74.628,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,74.149,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,74.539,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,74.497,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,75.806,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,74.82,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,74.775,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,73.669,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q2a,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,73.948,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,506.492,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,508.123,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,495.977,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,507.462,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,502.41,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,421.254,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,408.201,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,401.766,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,412.502,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,407.198,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,425.548,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,406.906,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,424.915,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,404.586,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q3c,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,415.507,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,160.407,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,163.518,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,165.076,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,164.351,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,159.982,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,87.795,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,87.839,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,86.23,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,88.113,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,88.26,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,87.926,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,86.327,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,87.275,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,87.535,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q4a,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,84.998,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,1062.96,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,1026.62,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,1038.62,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,1027.09,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, ResultDB_SemiJoin)",Execution Time,0,1032.79,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,997.956,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,975.876,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,980.758,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,1020.98,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, ResultDB_Decompose)",Execution Time,0,982.89,4
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,1004.45,0
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,998.153,1
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,999.715,2
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,985.579,3
3d724b1f201ad957b8e0ff5dd556bb7335d0e19b,2025-03-18,1,result-db,job,q5c,"mutable (single core, WasmV8, TD_RESULTDB)",Execution Time,0,1025.06,4
